                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7726,                 3.2472,                 1.5704,                0.40656,                0.38095,                0.44947,                 0.2987,                 1.2405,                 4.0548,                 1.2899,             0.00020566,             0.00020566,             0.00020566
                      2,                 1.4361,                  1.978,                 1.3646,                0.57516,                0.64156,                 0.6743,                0.37727,                 1.4386,                 2.7475,                 1.5345,             0.00040229,             0.00040229,             0.00040229
                      3,                 1.3827,                 1.8227,                 1.3694,                0.47084,                0.79566,                0.78885,                0.55479,                   1.11,                 1.6706,                 1.3311,             0.00058712,             0.00058712,             0.00058712
                      4,                 1.3469,                 1.6893,                 1.3524,                0.70532,                0.80978,                0.86003,                0.62775,                 1.0345,                 1.1696,                 1.2886,             0.00057196,             0.00057196,             0.00057196
                      5,                 1.3375,                 1.5894,                 1.3381,                0.89259,                0.71717,                  0.871,                0.61748,                 1.1082,                 1.0842,                 1.3484,             0.00057196,             0.00057196,             0.00057196
                      6,                 1.2945,                 1.5172,                 1.3299,                0.81512,                0.88649,                0.95895,                0.73226,                0.96492,                0.85054,                 1.2599,             0.00055429,             0.00055429,             0.00055429
                      7,                  1.266,                 1.4733,                 1.3169,                0.82997,                0.85486,                0.91421,                0.67804,                 1.0074,                0.86442,                 1.3131,             0.00053661,             0.00053661,             0.00053661
                      8,                 1.2091,                 1.3702,                 1.2943,                0.83318,                0.89799,                0.97347,                0.73106,                0.97766,                0.89768,                 1.2732,             0.00051893,             0.00051893,             0.00051893
                      9,                 1.1837,                 1.3367,                 1.2675,                0.97188,                0.96915,                0.99099,                0.76782,                0.89347,                0.63582,                 1.2076,             0.00050125,             0.00050125,             0.00050125
                     10,                 1.1473,                 1.2689,                 1.2552,                0.90087,                0.94798,                0.97068,                0.67984,                 1.1158,                0.71804,                 1.3644,             0.00048357,             0.00048357,             0.00048357
                     11,                 1.1294,                 1.2745,                 1.2467,                0.91218,                0.87775,                0.96882,                0.71733,                 1.0813,                0.67659,                 1.3372,             0.00046589,             0.00046589,             0.00046589
                     12,                 1.1258,                   1.25,                  1.239,                0.92867,                0.90941,                0.97082,                0.76125,                0.88177,                 0.6321,                 1.2024,             0.00044821,             0.00044821,             0.00044821
                     13,                 1.1217,                 1.2468,                 1.2609,                0.94589,                0.95667,                0.98759,                0.73499,                 1.0322,                0.61989,                  1.311,             0.00043054,             0.00043054,             0.00043054
                     14,                 1.0911,                 1.1575,                 1.2183,                0.90946,                0.93122,                0.96923,                0.74877,                0.92908,                0.60072,                  1.252,             0.00041286,             0.00041286,             0.00041286
                     15,                 1.0499,                 1.1131,                 1.2042,                0.97231,                0.94073,                0.98924,                0.77604,                0.86919,                0.53022,                 1.2106,             0.00039518,             0.00039518,             0.00039518
                     16,                 1.0395,                 1.0959,                 1.2046,                0.95038,                 0.9329,                0.96937,                 0.7553,                0.91156,                0.54363,                 1.2763,              0.0003775,              0.0003775,              0.0003775
                     17,                 1.0226,                  1.056,                 1.1944,                  0.882,                 0.9567,                0.98054,                 0.7358,                0.96244,                0.57532,                  1.251,             0.00035982,             0.00035982,             0.00035982
                     18,                 1.0235,                 1.0445,                 1.1831,                0.95338,                0.95216,                0.98641,                0.77089,                0.86993,                 0.5024,                 1.1913,             0.00034214,             0.00034214,             0.00034214
                     19,                 1.0253,                  1.023,                 1.1993,                0.93422,                0.94764,                0.98418,                0.76594,                0.88573,                 0.5348,                 1.2251,             0.00032446,             0.00032446,             0.00032446
                     20,                 1.0127,                 1.0073,                  1.186,                 0.9615,                0.92149,                0.99231,                0.78581,                0.85502,                 0.4929,                 1.1973,             0.00030679,             0.00030679,             0.00030679
                     21,                 0.9907,                0.98386,                 1.1743,                0.94281,                0.93634,                0.98357,                0.78919,                0.83766,                 0.4986,                  1.171,             0.00028911,             0.00028911,             0.00028911
                     22,                0.94174,                0.94305,                 1.1564,                0.93407,                0.95661,                0.98681,                0.78353,                0.84123,                0.49368,                 1.1973,             0.00027143,             0.00027143,             0.00027143
                     23,                0.95385,                0.95291,                   1.16,                0.96147,                0.92759,                0.98578,                0.78729,                0.85473,                0.47558,                 1.2131,             0.00025375,             0.00025375,             0.00025375
                     24,                0.95392,                0.93219,                 1.1735,                0.95812,                0.93645,                0.98233,                0.78219,                0.82643,                0.48693,                 1.1823,             0.00023607,             0.00023607,             0.00023607
                     25,                0.90737,                0.91371,                 1.1421,                0.97146,                0.93959,                 0.9882,                0.77692,                0.85149,                0.46781,                 1.2088,             0.00021839,             0.00021839,             0.00021839
                     26,                0.73808,                0.52027,                 1.1236,                0.95067,                0.97273,                0.98809,                 0.7904,                0.80684,                0.49534,                 1.1659,             0.00020071,             0.00020071,             0.00020071
                     27,                0.69817,                0.43567,                 1.0947,                0.94521,                0.98275,                 0.9881,                0.79183,                0.80685,                0.45004,                 1.1757,             0.00018304,             0.00018304,             0.00018304
                     28,                0.70333,                0.43536,                 1.0913,                0.97225,                0.97381,                0.98453,                0.80439,                 0.7964,                  0.435,                 1.1694,             0.00016536,             0.00016536,             0.00016536
                     29,                0.66919,                0.39932,                 1.0874,                0.96876,                0.93366,                0.99123,                0.80662,                0.78412,                0.41577,                 1.1454,             0.00014768,             0.00014768,             0.00014768
                     30,                0.65768,                0.37794,                 1.0633,                  0.951,                0.97309,                0.99052,                0.82155,                0.77641,                0.39355,                 1.1586,                0.00013,                0.00013,                0.00013
                     31,                0.61384,                 0.3667,                 1.0445,                0.96641,                0.96211,                 0.9898,                0.82143,                0.78341,                0.39286,                 1.1681,             0.00011232,             0.00011232,             0.00011232
                     32,                0.61271,                0.40676,                 1.0548,                0.97107,                0.96814,                0.98466,                0.81214,                0.77672,                0.38541,                 1.1654,             9.4643e-05,             9.4643e-05,             9.4643e-05
                     33,                0.60734,                0.34296,                 1.0582,                0.97993,                0.98058,                0.98803,                0.82519,                0.75238,                0.37243,                  1.146,             7.6964e-05,             7.6964e-05,             7.6964e-05
                     34,                0.60022,                0.33697,                 1.0485,                 0.9765,                0.98195,                0.98792,                  0.826,                0.76172,                 0.3832,                 1.1493,             5.9286e-05,             5.9286e-05,             5.9286e-05
                     35,                0.59226,                0.31943,                 1.0381,                0.97561,                0.97962,                0.98922,                0.81385,                0.76468,                0.37917,                 1.1513,             4.1607e-05,             4.1607e-05,             4.1607e-05
